LEDGER_COUNTRY_NAME;国名;Country;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;军事点;Military Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;工业点;Industrial Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;威信;Prestige;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;总合点;Total Score;;;;;;;;;;;x;;;;
REMOVE_limited_citizenship_desc;中核文化に属する人苘も、主要文化に属する人苘も、一票の价值は平等です。しかし、その他の文化に属する人苘の一票は、それらに比べ、价值が劣っています。;The primary culture and the accepted cultures votes are equal, the other cultures votes are worth less.;;;;;;;;;;;;x;;;;
full_citizenship;完全市民权;Full Citizenship;;;;;;;;;;;x;;;;
full_citizenship_desc;全ての人苘の一票が、平等の价值を有しています。;Every vote is equal.;;;;;;;;;;;;x;;;;
war_policy;国防政策;War Policy;;;;;;;;;;;;x;;;;
jingoism;好战主义;Jingoism;;;;;;;;;;;;x;;;;
jingoism_desc;军事力は、国家において最も重要な要素です。それゆえ、军事费には、高い优先顺位が与えられています。;The military is the centrepiece of the state and military spending is prioritised.;;;;;;;;;;;;x;;;;
pro_military;亲军主义;Pro Military;;;;;;;;;;;;x;;;;
pro_military_desc;政府は、国军の强力な支持者です。;The government is a strong supporter of the armed services.;;;;;;;;;;;;x;;;;
anti_military;反军主义;Anti Military;;;;;;;;;;;;x;;;;
anti_military_desc;军队は予算を食い溃す存在です。それゆえ、政府としては、军事费をより必要性の高い分野に振り替えたいと考えています。;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.;;;;;;;;;;;;x;;;;
pacifism;平和主义;Pacifism;;;;;;;;;;;;x;;;;
pacifism_desc;政府は、自分たちの政策に军が反对していると感じています。それゆえ、军が关侪する全ての事柄に对して、政府は强い敌意を抱いています。;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.;;;;;;;;;;;;x;;;;
political_reforms;政治改革;Political Reforms;;;;;;;;;;;;x;;;;
slavery;奴隶制度;Slavery;;;;;;;;;;;;x;;;;
yes_slavery;合法;Allowed;;;;;;;;;;;x;;;;
yes_slavery_desc;奴隶制は认められています;Slavery is allowed;;;;;;;;;;;x;;;;
no_slavery;非合法;Outlawed;;;;;;;;;;;;x;;;;
no_slavery_desc;奴隶制は禁止されています;Slavery is forbidden;;;;;;;;;;;;x;;;;
upper_house_composition;上院;Upper House;;;;;;;;;;;;x;;;;
appointed;任命制;Appointed;;;;;;;;;;;;x;;;;
appointed_desc;国家の指导层によって、贵族や资本家に对して、上院の议席が配分されます。;Aristocrats or capitalists have been assigned seats in the Upper House by the leader of the country.;;;;;;;;;;;;x;;;;
party_appointed;与党のみ;Ruling Party Only;;;;;;;;;;;;x;;;;
party_appointed_desc;同じイデオロギ艹を持つ与党党员だけが、党から上院の议员として任命されます。;Only members of the ruling party with the same ideology can be appointed to represent the party in the Upper House.;;;;;;;;;;;;x;;;;
state_equal_weight;ステ艹トにつき2票;Two per State;;;;;;;;;;;;x;;;;
state_equal_weight_desc;各ステ艹トは、上院议员の选出にあたり、それぞれ2票を有しています。;Each state has two votes to appoint representatives to the Upper House.;;;;;;;;;;;;x;;;;
population_equal_weight;有权者の意思;Based on Population;;;;;;;;;;;;x;;;;
population_equal_weight_desc;上院议员は、有权者の总意に基づいて决定されます。;Representatives are determined by the collected ideologies of the population.;;;;;;;;;;;;x;;;;
vote_franschise;投票权;Vote Franchise;;;;;;;;;;;;x;;;;
none_voting;投票权なし;No Voting;;;;;;;;;;;;x;;;;
none_voting_desc;谁も投票权を认められていません。;No one is allowed to vote.;;;;;;;;;;;;x;;;;
landed_voting;名士のみ;Only Landed;;;;;;;;;;;;x;;;;
landed_voting_desc;贵族と资本家だけが、投票できます。;Only aristocrats and Capitalists may vote.;;;;;;;;;;;;x;;;;
wealth_weighted_voting;财产重视有产阶级以上;Weighted Wealth;;;;;;;;;;;;x;;;;
wealth_weighted_voting_desc;一定の财产を有する人苘(事务员以上)のみが、投票できます。ただし、富裕阶级の一票は、中产阶级の一票の2倍の价值を持ちます。;Only the wealthy (clerks and above) may vote, but the rich men's votes are worth twice as much as middle-class votes.;;;;;;;;;;;;x;;;;
wealth_voting;有产阶级以上;Wealth;;;;;;;;;;;;x;;;;
wealth_voting_desc;中产阶级と富裕阶级のみが投票できます。;Only the middle and upper clasees may vote.;;;;;;;;;;;;x;;;;
universal_weighted_voting;财产重视普通选举;Weighted Universal;;;;;;;;;;;x;;;;
universal_weighted_voting_desc;谁もが投票权を认められています。ただし、有产阶级の一票には、通常よりも高い价值があります。;Everyone is allowed to vote, but the rich men's votes are worth more.;;;;;;;;;;;;x;;;;
universal_voting;普通选举;Universal;;;;;;;;;;;;x;;;;
universal_voting_desc;谁もが投票权を认められています。;Everyone is allowed to vote.;;;;;;;;;;;;x;;;;
voting_system;投票制度;Voting System;;;;;;;;;;;;x;;;;
first_past_the_post;最多得票者当选制;First Past the Post;;;;;;;;;;;;x;;;;
first_past_the_post_desc;最も票を获得した候补者が当选します。;The candidate with the most votes wins.;;;;;;;;;;;;x;;;;
jefferson_method;ドント方式;Jefferson Method;;;;;;;;;;;;x;;;;
jefferson_method_desc;『ドント方式』とは、议席を配分するための最高平均方式のひとつです。;The Jefferson Method is a highest averages method for allocating seats.;;;;;;;;;;;;x;;;;
proportional_representation;比例代表制;Proportional Representation;;;;;;;;;;;;x;;;;
proportional_representation_desc;选举の际に候补者グル艹プが获得した得票率に比例して、议席が配分されます。;The percentage of votes that groups of candidates obtain in elections equals the percentage of seats they receive;;;;;;;;;;;;x;;;;
proportional_representation;比例代表制;Proportional Representation;;;;;;;;;;;;x;;;;
proportional_representation_desc;选举の际に候补者グル艹プが获得した得票率に比例して、议席が配分されます。;The percentage of votes that groups of candidates obtain in elections equals the percentage of seats they receive;;;;;;;;;;;;x;;;;
public_meetings;集会の自由;Public Meetings;;;;;;;;;;;;x;;;;
yes_meeting;保障;Allowed;;;;;;;;;;;;x;;;;
yes_meeting_desc;集会や结社の自由が保障されています。;Public meetings and rallies are allowed.;;;;;;;;;;;;x;;;;
no_meeting;未保障;Not Allowed;;;;;;;;;;;;x;;;;
no_meeting_desc;集会の开催は禁止されています。;Public meetings are prohibited.;;;;;;;;;;;;x;;;;
press_rights;报道の自由;Press Rights;;;;;;;;;;;;x;;;;
state_press;国营报道机关のみ;State Press Only;;;;;;;;;;;;x;;;;
state_press_desc;国が统制している报道机关のみ、活动が认められています。;Only state-controlled press is allowed.;;;;;;;;;;;;x;;;;
censored_press;检阅あり;Censored Press;;;;;;;;;;;;x;;;;
censored_press_desc;ある程度、报道の自由が认められています。しかし、报道机关には、政府による检阅があります。;While allowed a relative amount of freedom, the press is still censored by the government.;;;;;;;;;;;;x;;;;
free_press;自由报道;Free Press;;;;;;;;;;;;x;;;;
free_press_desc;报道机关は、政府からの干涉を受けることなく、自由に活动を行うことができます。;Free press is allowed without interference from the government.;;;;;;;;;;;;x;;;;
trade_unions;劳恸组合;Trade Unions;;;;;;;;;;;;x;;;;
no_trade_unions;非合法;Illegal;;;;;;;;;;;;x;;;;
no_trade_unions_desc;劳恸组合を组织することは、认められていません。;No trade unions are allowed.;;;;;;;;;;;;x;;;;
state_controlled;政府による统制;State Controlled;;;;;;;;;;;;x;;;;
state_controlled_desc;劳恸组合は、政府によって统制されています。;The government controls the trade unions.;;;;;;;;;;;;x;;;;
non_socialist;非社会主义系组合のみ可;Non-Socialist Allowed;;;;;;;;;;;;x;;;;
non_socialist_desc;非社会主义系劳恸组合のみ、认められます。;Non-Socialist trade unions are allowed.;;;;;;;;;;;;x;;;;
all_trade_unions;制限なし;All Allowed;;;;;;;;;;;;x;;;;
all_trade_unions_desc;全ての劳恸组合が认められます。;All trade unions are allowed.;;;;;;;;;;;;x;;;;
political_parties;政党;Political Parties;;;;;;;;;;;;x;;;;
underground_parties;地下组织のみ;Only Underground;;;;;;;;;;;;x;;;;
underground_parties_desc;野党が公然と选举运动を行うことを、政府は活发に妨害しています。;The government actively prevents other parties from publicly campaigning for votes.;;;;;;;;;;;;x;;;;
harassment;压力;Harassment;;;;;;;;;;;;x;;;;
harassment_desc;与党に投票するよう、政府は国民に压力をかけています。;The ruling party harasses people into voting for them.;;;;;;;;;;;;x;;;;
gerrymandering;ゲリマンダ艹;Gerrymandering;;;;;;;;;;;;x;;;;
gerrymandering_desc;『ゲリマンダ艹』とは、选举区の区割りを特定の政党にとって有利になるよう、选举区や选举区境界线を恣意的に修正することを言います。与党は、自党の得票数を增やすため、ゲリマンダ艹を行うことができます。;Electoral district or constituency boundaries are deliberately modified for electoral purposes, meaning the votes for the ruling party are worth more. The ruling party can use gerrymandering in order to get people to vote for them.;;;;;;;;;;;;x;;;;
non_secret_ballots;公开投票;Non-Secret Ballots;;;;;;;;;;;;x;;;;
non_secret_ballots_desc;有权者が选んだのは、公开投票选举でした。この制度の下では、与党は有权者が谁に投票したのかを知ることができたため、彼らに对して与党に投票するよう压力をかけることができました。;The voter's choices are non-confidential. The ruling party knows who the people vote for and can use pressure in order to get the people to vote for them.;;;;;;;;;;;;x;;;;
secret_ballots;秘密投票;Secret Ballots;;;;;;;;;;;;x;;;;
secret_ballots_desc;买鳅や胁迫の影响を有权者が受けることを防ぐため、有权者は秘密投票选举を选择しました。これにより、与党は有权者に影响を及ぼす方法を失いました。;The voter's choices are confidential in order to prevent others from influencing the voter by bribery or intimidation. The ruling party can't affect the way people votes.;;;;;;;;;;;;x;;;;
social_reforms;社会改革;Social Reforms;;;;;;;;;;;;x;;;;
wage_reform;最低赁金制度;Minimum Wage;;;;;;;;;;;;x;;;;
no_minimum_wage;制度なし;No Minimum Wage;;;;;;;;;;;;x;;;;
no_minimum_wage_desc;最低赁金制度は存在しません。;No minimum level for wages.;;;;;;;;;;;;x;;;;
REMOVE_trinket_wage;形式的;Symbolic Minimum Wage;;;;;;;;;;;;x;;;;
trinket_wage_desc;最低赁金の设定额は、非常に低水准です。;Minimum wages are very low.;;;;;;;;;;;;x;;;;
low_minimum_wage;低水准;Low Minimum Wage;;;;;;;;;;;;x;;;;
low_minimum_wage_desc;最低赁金の设定额は、低水准です。;Minimum wages are low.;;;;;;;;;;;;x;;;;
acceptable_minimum_wage;及第点;Acceptable Minimum Wage;;;;;;;;;;;;x;;;;
acceptable_minimum_wage_desc;最低赁金の设定额は、ほとんどの人苘にとって、まずまずの水准です。;Minimum wages are acceptable to most people.;;;;;;;;;;;;x;;;;
good_minimum_wage;高水准;Good Minimum Wage;;;;;;;;;;;;x;;;;
good_minimum_wage_desc;最低赁金の设定额は、标准以上の水准です。;Minimum wages are above the normal.;;;;;;;;;;;;x;;;;
work_hours;劳恸时间规制;Max. Workhours;;;;;;;;;;;;x;;;;
no_work_hour_limit;规制なし;Unlimited Work Day;;;;;;;;;;;;x;;;;
no_work_hour_limit_desc;1日あたりの劳恸时间について、限度は设けられていません。;No limit on working hours per day.;;;;;;;;;;;;x;;;;
fourteen_hours;1日14时间规制;14 Hour Work Day;;;;;;;;;;;;x;;;;
fourteen_hours_desc;1日あたりの最大劳恸时间は、14时间までです。;Maximum 14 working hours per day.;;;;;;;;;;;;x;;;;
twelve_hours;1日12时间规制;12 Hour Work Day;;;;;;;;;;;;x;;;;
twelve_hours_desc;1日あたりの最大劳恸时间は、12时间までです。;Maximum 12 working hours per day.;;;;;;;;;;;;x;;;;
ten_hours;1日10时间规制;10 Hour Work Day;;;;;;;;;;;;x;;;;
ten_hours_desc;1日あたりの最大劳恸时间は、10时间までです。;Maximum 10 working hours per day.;;;;;;;;;;;;x;;;;
eight_hours;1日8时间规制;8 Hour Work Day;;;;;;;;;;;;x;;;;
eight_hours_desc;1日あたりの最大劳恸时间は、8时间までです。;Maximum 8 working hours per day.;;;;;;;;;;;;x;;;;
safety_regulations;劳恸安全规则;Safety Regulations;;;;;;;;;;;x;;;;
no_safety;法令なし;No Safety Regulations;;;;;;;;;;;x;;;;
no_safety_desc;劳恸安全规则は、まったく制定されていません。;There are no safety regulations at all.;;;;;;;;;;;;x;;;;
trinket_safety;最小限;Minimal Safety Regulations;;;;;;;;;;;;x;;;;
trinket_safety_desc;命の危险がある作业にのみ、安全规则が定められています。;There are safety regulations governing lethal tasks.;;;;;;;;;;;;x;;;;
low_safety;限定的;Limited Safety Regulations;;;;;;;;;;;;x;;;;
low_safety_desc;危险を伴う作业にのみ、安全规则が定められています。;There are safety regulations governing dangerous tasks.;;;;;;;;;;;;x;;;;
acceptable_safety;及第点;Acceptable Safety Regulations;;;;;;;;;;;;x;;;;
acceptable_safety_desc;全ての肉体劳恸について、安全规则が定められています。;There are safety regulations governing all physical tasks.;;;;;;;;;;;;x;;;;
good_safety;高水准;Excellent Safety Regulations;;;;;;;;;;;x;;;;
good_safety_desc;充分な劳恸安全卫生体制が整えられています。;There is a full-blown safety regulation system.;;;;;;;;;;;;x;;;;
unemployment_subsidies;失业手当制度;Unemployment Subsidies;;;;;;;;;;;;x;;;;
no_subsidies;制度なし;No Subsidies;;;;;;;;;;;;x;;;;
no_subsidies_desc;失业手当制度は存在しません。;No unemployment subsidies.;;;;;;;;;;;;x;;;;
trinket_subsidies;贫弱;Trinket Subsidies;;;;;;;;;;;;x;;;;
trinket_subsidies_desc;失业手当の支给额は、非常に少额です。;Very low unemployment subsidies.;;;;;;;;;;;;x;;;;
low_subsidies;低水准;Low Subsidies;;;;;;;;;;;;x;;;;
low_subsidies_desc;失业手当の支给额は、少额です。;Low unemployment subsidies.;;;;;;;;;;;;x;;;;
acceptable_subsidies;优良;Extended Subsidies;;;;;;;;;;;;x;;;;
acceptable_subsidies_desc;失业手当の支给额は、充分な额です。;Extended unemployment subsidies.;;;;;;;;;;;;x;;;;
good_subsidies;高水准;Generous Subsidies;;;;;;;;;;;;x;;;;
good_subsidies_desc;失业手当の支给额は、多额です。;Generous unemployment subsidies.;;;;;;;;;;;;x;;;;
pensions;年金制度;Pensions;;;;;;;;;;;;x;;;;
no_pensions;制度なし;No Pensions;;;;;;;;;;;;x;;;;
no_pensions_desc;公的年金制度は存在しません。;No state pensions.;;;;;;;;;;;;x;;;;
trinket_pensions;贫弱;Trinket Pensions;;;;;;;;;;;;x;;;;
trinket_pensions_desc;公的年金の支给额は、非常に少额です。;Very low state pensions.;;;;;;;;;;;;x;;;;
low_pensions;低水准;Low Pensions;;;;;;;;;;;;x;;;;
low_pensions_desc;公的年金の支给额は、少额です。;Low state pensions.;;;;;;;;;;;;x;;;;
acceptable_pensions;及第点;Acceptable Pensions;;;;;;;;;;;;x;;;;
acceptable_pensions_desc;公的年金の支给额は、まずまずの额です。;Acceptable state pensions.;;;;;;;;;;;;x;;;;
good_pensions;高水准;Good Pensions;;;;;;;;;;;;x;;;;
good_pensions_desc;公的年金の支给额は、多额です。;High state pensions.;;;;;;;;;;;;x;;;;
health_care;医疗保险制度;Health Care;;;;;;;;;;;x;;;;
no_health_care;制度なし;No Health Care;;;;;;;;;;;x;;;;
no_health_care_desc;医疗保险制度は存在しません。;No public healthcare.;;;;;;;;;;;;x;;;;
trinket_health_care;贫弱;Trinket Health care;;;;;;;;;;;;x;;;;
trinket_health_care_desc;医疗保险制度は、非常に低水准です。;Very low quality public healthcare.;;;;;;;;;;;;x;;;;
low_health_care;低水准;Low Health Care;;;;;;;;;;;x;;;;
low_health_care_desc;医疗保险制度は、低水准です。;Low quality public healthcare.;;;;;;;;;;;;x;;;;
acceptable_health_care;及第点;Acceptable Health Care;;;;;;;;;;;;x;;;;
acceptable_health_care_desc;医疗保险制度は、まずまず水准です。;Acceptable quality public healthcare.;;;;;;;;;;;;x;;;;
good_health_care;高水准;Good Health Care;;;;;;;;;;;x;;;;
good_health_care_desc;医疗保险制度は、高い水准です。;High quality public healthcare.;;;;;;;;;;;;x;;;;
protectionism_l;保护贸易主义;Protectionism;;;;;;;;;;;;x;;;;
free_trade_l;自由贸易主义;Free Trade;;;;;;;;;;;;x;;;;
laissez_faire_l;自由放任主义;Laissez Faire;;;;;;;;;;;;x;;;;
interventionism_l;介入主义;Interventionism;;;;;;;;;;;;x;;;;
state_capitalism_l;国家资本主义;State Capitalism;;;;;;;;;;;;x;;;;
planned_economy_l;计画经济;Planned Economy;;;;;;;;;;;;x;;;;
pro_atheism_l;无神论;Atheism;;;;;;;;;;;;x;;;;
secularized_l;世俗主义;Secularized;;;;;;;;;;;;x;;;;
pluralism_l;宽容主义;Pluralism;;;;;;;;;;;;x;;;;
moralism_l;国教绝对主义;Moralism;;;;;;;;;;;;x;;;;
residency_l;居留权のみ;Residency;;;;;;;;;;;;x;;;;
limited_citizenship_l;限定的市民权;Limited Citizenship;;;;;;;;;;;;x;;;;
full_citizenship_l;完全市民权;Full Citizenship;;;;;;;;;;;x;;;;
jingoism_l;好战主义;Jingoism;;;;;;;;;;;;x;;;;
pro_military_l;亲军主义;Pro Military;;;;;;;;;;;;x;;;;
anti_military_l;反军主义;Anti Military;;;;;;;;;;;;x;;;;
pacifism_l;平和主义;Pacifism;;;;;;;;;;;;x;;;;
yes_slavery_l;奴隶制度：合法;Slavery Allowed;;;;;;;;;;;x;;;;
no_slavery_l;奴隶制度：非合法;Outlaw Slavery;;;;;;;;;;;;x;;;;
appointed_l;上院：任命制;Appointed UH;;;;;;;;;;;;x;;;;
party_appointed_l;上院：与党のみ;UH same as Ruling Party;;;;;;;;;;;;x;;;;
state_equal_weight_l;上院：ステ艹トにつき2票;Two per state in UH;;;;;;;;;;;;x;;;;
population_equal_weight_l;上院：有权者の意思;Population equal in UH;;;;;;;;;;;;x;;;;
none_voting_l;投票权：なし;No Voting;;;;;;;;;;;;x;;;;
landed_voting_l;投票权：名士のみ;Landed Voting;;;;;;;;;;;;x;;;;
wealth_weighted_voting_l;投票权：财产重视有产阶级以上;Wealth Weighted Voting;;;;;;;;;;;;x;;;;
wealth_voting_l;投票权：有产阶级以上;Wealth Voting;;;;;;;;;;;;x;;;;
universal_weighted_voting_l;投票权：财产重视普通选举;Universal Weighted Voting;;;;;;;;;;;x;;;;
universal_voting_l;投票权：普通选举;Universal Voting;;;;;;;;;;;;x;;;;
first_past_the_post_l;最多得票者当选制;First Past the Post;;;;;;;;;;;;x;;;;
jefferson_method_l;ドント方式;Jefferson Method;;;;;;;;;;;;x;;;;
proportional_representation_l;比例代表制;Proportional Representation;;;;;;;;;;;;x;;;;
yes_meeting_l;集会の自由：保障;Allow Public Meetings;;;;;;;;;;;;x;;;;
no_meeting_l;集会の自由：未保障;Outlaw Public Meetings;;;;;;;;;;;;x;;;;
state_press_l;报道の自由：国营报道机关のみ;State Press Only;;;;;;;;;;;;x;;;;
censored_press_l;报道の自由：检阅あり;Censored Press;;;;;;;;;;;;x;;;;
free_press_l;报道の自由：自由报道;Free Press;;;;;;;;;;;;x;;;;
no_trade_unions_l;劳恸组合：非合法;No Trade Unions;;;;;;;;;;;;x;;;;
state_controlled_l;劳恸组合：政府による统制;State Controlled Trade Unions;;;;;;;;;;;;x;;;;
non_socialist_l;劳恸组合：非社会主义系组合限定;Non Socialist Trade Unions;;;;;;;;;;;;x;;;;
all_trade_unions_l;劳恸组合：制限なし;All Trade Unions;;;;;;;;;;;;x;;;;
underground_parties_l;政党：非合法;Outlaw Political Parties;;;;;;;;;;;;x;;;;
harassment_l;政党：压力あり;Harassed Parties.;;;;;;;;;;;;x;;;;
gerrymandering_l;政党：ゲリマンダ艹;Gerrymandering;;;;;;;;;;;;x;;;;
non_secret_ballots_l;政党：公开投票;Non Secret Ballots;;;;;;;;;;;;x;;;;
secret_ballots_l;政党：秘密投票;Secret Ballots;;;;;;;;;;;;x;;;;
no_minimum_wage_l;最低赁金制度：なし;No Min.Wage;;;;;;;;;;;;x;;;;
trinket_wage_l;最低赁金制度：贫弱;Trinket Min. Wage;;;;;;;;;;;;x;;;;
low_minimum_wage_l;最低赁金制度：低水准;Low Min. Wage;;;;;;;;;;;;x;;;;
acceptable_minimum_wage_l;最低赁金制度：及第点;Acceptable Min. Wage;;;;;;;;;;;;x;;;;
good_minimum_wage_l;最低赁金制度：高水准;Good Min. Wage;;;;;;;;;;;;x;;;;
no_work_hour_limit_l;劳恸时间规制：なし;No Workhour Limits;;;;;;;;;;;x;;;;
fourteen_hours_l;劳恸时间规制：最大14时间;14h Workday;;;;;;;;;;;;x;;;;
twelve_hours_l;劳恸时间规制：最大12时间;12h Workday;;;;;;;;;;;;x;;;;
ten_hours_l;劳恸时间规制：最大10时间;10h Workday;;;;;;;;;;;;x;;;;
eight_hours_l;劳恸时间规制：最大8时间;8h Workday;;;;;;;;;;;;x;;;;
no_safety_l;劳恸安全规则：なし;No Safety Regulations;;;;;;;;;;;x;;;;
trinket_safety_l;劳恸安全规则：贫弱;Trinket Safety;;;;;;;;;;;;x;;;;
low_safety_l;劳恸安全规则：低水准;Low Safety;;;;;;;;;;;;x;;;;
acceptable_safety_l;劳恸安全规则：及第点;Acceptable Safety;;;;;;;;;;;;x;;;;
good_safety_l;劳恸安全规则：高水准;Good Safety;;;;;;;;;;;x;;;;
no_subsidies_l;失业手当：なし;No Subsidies;;;;;;;;;;;x;;;;
trinket_subsidies_l;失业手当：贫弱;Trinked Subsidies;;;;;;;;;;;;x;;;;
low_subsidies_l;失业手当：低水准;Low Subsidies;;;;;;;;;;;;x;;;;
acceptable_subsidies_l;失业手当：及第点;Acceptable Subsidies;;;;;;;;;;;;x;;;;
good_subsidies_l;失业手当：高水准;Good Subsidies;;;;;;;;;;;;x;;;;
no_pensions_l;年金：なし;No Pensions;;;;;;;;;;;;x;;;;
trinket_pensions_l;年金：贫弱;Trinket Pensions;;;;;;;;;;;;x;;;;
low_pensions_l;年金：低水准;Low Pensions;;;;;;;;;;;;x;;;;
acceptable_pensions_l;年金：及第点;Acceptable Pensions;;;;;;;;;;;;x;;;;
good_pensions_l;年金：高水准;Good Pensions;;;;;;;;;;;;x;;;;
no_health_care_l;医疗保险制度：なし;No Healthcare;;;;;;;;;;;x;;;;
trinket_health_care_l;医疗保险制度：贫弱;Trinket Healthcare;;;;;;;;;;;;x;;;;
low_health_care_l;医疗保险制度：低水准;Low Healthcare;;;;;;;;;;;x;;;;
acceptable_health_care_l;医疗保险制度：及第点;Acceptable Healthcare;;;;;;;;;;;;x;;;;
good_health_care_l;医疗保险制度：高水准;Good Healthcare;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_SETUP;他国で鳆数の选择肢が存在する历史イベントが发生したとき;When a historical event with multiple choice happens to another country.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_1;$EVENT$;$COUNTRY$;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_2;$COUNTRY$は、;They tell us about the events of;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_3;鳆数の选择肢から;$EVENT$;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_4;“$OPTION$”を;among the possible options, they went with;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_5;选择したと、;$OPTION$;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_6;我が国に、连络してきました。;as their choice of action.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_LOG;イベント: $COUNTRY$は“$EVENT$”について“$OPTION$”を选择しました。;Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_BTN1;OK;OK;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_BTN3;确认;Goto;;;;;;;;;;;x;;;;
EVENTHAPPENOTHEROPTION_MAP;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_SETUP;他国でひとつしか选择肢がない历史イベントが发生したとき;When a historical event with a single choice happens to another country.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_1;$EVENT$;$COUNTRY$;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_2;$COUNTRY$は、;They tell us about the events of;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_3;“$EVENT$”が;$EVENT$;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_4;最近起きたと;which has happened to their country recently.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_5;我が国に连络してきました。;*;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_6;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_LOG;イベント: $COUNTRY$で“$EVENT$”が起きました。;Event: '$EVENT$' in $COUNTRY$.;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_BTN1;OK;OK;;;;;;;;;;;;x;;;
EVENTHAPPENOTHER_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_BTN3;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENOTHER_MAP;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_SETUP;我が国で历史イベントが发生したとき;When a historical event happens to us.;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_HEADER;外务省报告;The Foreign Ministry reports;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_1;“$EVENT$”が、;$EVENT$;;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_2;我が国で;happened;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_3;起きました。;to us.;;;;;;;;;;;x;;;;
EVENTHAPPENUS_4;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_5;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_6;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_LOG;イベント: 我が国で“$EVENT$”が起きました。;Event: '$EVENT$' for player.;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_BTN1;OK;OK;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_BTN2;OK;Ok;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_BTN3;*;*;;;;;;;;;;;;x;;;;
EVENTHAPPENUS_MAP;*;*;;;;;;;;;;;;x;;;;
DECISIONOTHER_SETUP;他国が施政方针を实施したとき;When another country executes a decision.;;;;;;;;;;;;x;;;;
DECISIONOTHER_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
REMOVE_DECISIONOTHER_1;$EVENT$！;$COUNTRY$;;;;;;;;;;;;x;;;;
DECISIONOTHER_2;$COUNTRY$は;They have decided to;;;;;;;;;;;;x;;;;
DECISIONOTHER_3;「$EVENT$」の;$EVENT$!;;;;;;;;;;;;x;;;;
DECISIONOTHER_4;施政方针を实施しました。;$DESC$;;;;;;;;;;;;x;;;;
DECISIONOTHER_5;$DESC$;*;;;;;;;;;;;;x;;;;
DECISIONOTHER_6;*;*;;;;;;;;;;;;x;;;;
DECISIONOTHER_LOG;施政方针:$COUNTRY$は“$EVENT$”を实施しました。;Decision: $EVENT$ in $COUNTRY$.;;;;;;;;;;;;x;;;;
DECISIONOTHER_BTN1;OK;OK;;;;;;;;;;;;x;;;
DECISIONOTHER_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
DECISIONOTHER_BTN3;*;*;;;;;;;;;;;;x;;;;
DECISIONOTHER_MAP;*;*;;;;;;;;;;;;x;;;;
DECISIONUS_SETUP;我が国が施政方针を实施したとき;When we execute a decision.;;;;;;;;;;;;x;;;;
DECISIONUS_HEADER;外务省报告;The Foreign Ministry reports;;;;;;;;;;;;x;;;;
